
LOG
0 3.984
10 4
20 4
30 4
40 4
50 4
60 4
70 4
80 4
90 4
100 4
110 3.952
120 0.016
130 0
140 0
150 0
160 0
170 0
180 0
190 0
200 0
210 0
220 0
230 0
240 0
250 0
260 0
270 0
280 0
0 3.984
10 4
20 4
30 4
40 4
50 4
60 4
70 4
80 3.984
90 4.016
100 3.728
110 2.48
120 1.536
130 0.624
140 0.512
150 0.288
160 0.224
170 0.144
180 0.064
190 0.064
200 0.016
210 0.032
220 0
230 0
240 0
250 0
260 0
270 0
280 0
0 3.984
10 4
20 3.984
30 4.016
40 4
50 4
60 4
70 3.328
80 2.848
90 2.288
100 1.424
110 1.28
120 0.912
130 0.848
140 0.48
150 0.416
160 0.208
170 0.304
180 0.144
190 0.096
200 0.08
210 0.048
220 0.064
230 0.08
240 0.048
250 0.048
260 0.016
270 0
280 0
0 3.984
10 4
20 4
30 4
40 4
50 3.984
60 4.016
70 3.92
80 3.52
90 2.72
100 1.856
110 1.328
120 0.816
130 0.512
140 0.608
150 0.464
160 0.224
170 0.176
180 0.112
190 0.112
200 0.048
210 0.048
220 0.048
230 0.016
240 0.016
250 0
260 0.016
270 0
280 0
0 3.984
10 4
20 4
30 4
40 4
50 4
60 4
70 3.968
80 3.648
90 2.64
100 2.016
110 1.472
120 0.976
130 0.688
140 0.592
150 0.304
160 0.224
170 0.208
180 0.16
190 0.096
200 0.08
210 0.064
220 0.048
230 0
240 0.08
250 0
260 0
270 0.016
280 0
0 3.984
10 4
20 4
30 4
40 4
50 4
60 3.968
70 3.968
80 3.776
90 2.912
100 2.032
110 1.392
120 0.928
130 0.752
140 0.384
150 0.368
160 0.32
170 0.176
180 0.144
190 0.096
200 0.08
210 0.048
220 0.048
230 0.032
240 0.016
250 0
260 0
270 0
280 0
0 3.984
10 4
20 4
30 4
40 4
50 4
60 4
70 3.488
80 2.144
90 1.52
100 0.944
110 0.832
120 0.72
130 0.432
140 0.496
150 0.288
160 0.272
170 0.288
180 0.176
190 0.144
200 0.144
210 0.224
220 0.032
230 0.08
240 0.048
250 0.016
260 0.032
270 0.112
280 0.064
