
LOG
0 1
10 1
20 1
30 1
40 1
50 1
60 1
70 1
80 1
90 1
100 1
110 0.988
120 0.004
130 0
140 0
150 0
160 0
170 0
180 0
190 0
200 0
210 0
220 0
230 0
240 0
250 0
260 0
270 0
280 0
0 1
10 1
20 1
30 1
40 1
50 1
60 1
70 1
80 0.996
90 1.004
100 0.932
110 0.62
120 0.384
130 0.156
140 0.128
150 0.072
160 0.056
170 0.036
180 0.016
190 0.016
200 0.004
210 0.008
220 0
230 0
240 0
250 0
260 0
270 0
280 0
0 1
10 1
20 0.996
30 1.004
40 1
50 1
60 1
70 0.832
80 0.712
90 0.572
100 0.356
110 0.32
120 0.228
130 0.212
140 0.12
150 0.104
160 0.052
170 0.076
180 0.036
190 0.024
200 0.02
210 0.012
220 0.016
230 0.02
240 0.012
250 0.012
260 0.004
270 0
280 0
0 1
10 1
20 1
30 1
40 1
50 0.996
60 1.004
70 0.98
80 0.88
90 0.68
100 0.464
110 0.332
120 0.204
130 0.128
140 0.152
150 0.116
160 0.056
170 0.044
180 0.028
190 0.028
200 0.012
210 0.012
220 0.012
230 0.004
240 0.004
250 0
260 0.004
270 0
280 0
0 1
10 1
20 1
30 1
40 1
50 1
60 1
70 0.992
80 0.912
90 0.66
100 0.504
110 0.368
120 0.244
130 0.172
140 0.148
150 0.076
160 0.056
170 0.052
180 0.04
190 0.024
200 0.02
210 0.016
220 0.012
230 0
240 0.02
250 0
260 0
270 0.004
280 0
0 1
10 1
20 1
30 1
40 1
50 1
60 0.992
70 0.992
80 0.944
90 0.728
100 0.508
110 0.348
120 0.232
130 0.188
140 0.096
150 0.092
160 0.08
170 0.044
180 0.036
190 0.024
200 0.02
210 0.012
220 0.012
230 0.008
240 0.004
250 0
260 0
270 0
280 0
0 1
10 1
20 1
30 1
40 1
50 1
60 1
70 0.872
80 0.536
90 0.38
100 0.236
110 0.208
120 0.18
130 0.108
140 0.124
150 0.072
160 0.068
170 0.072
180 0.044
190 0.036
200 0.036
210 0.056
220 0.008
230 0.02
240 0.012
250 0.004
260 0.008
270 0.028
280 0.016
